account_key,account_id,account_name,account_type,primary_contact_id,industry,country,is_active
1,ACC-00001,Company 0001,Corporate,CON-05239,Technology,Spain,True
2,ACC-00002,Company 0002,Corporate,CON-00913,Technology,Spain,True
3,ACC-00003,Company 0003,Corporate,CON-00205,Technology,Spain,True
4,ACC-00004,Company 0004,Corporate,CON-02254,Hospitality,Spain,True
5,ACC-00005,Company 0005,Corporate,CON-02007,Hospitality,Spain,True
6,ACC-00006,Company 0006,Corporate,CON-01829,Retail,Spain,False
7,ACC-00007,Company 0007,Corporate,CON-01144,Healthcare,Spain,True
8,ACC-00008,Company 0008,Corporate,CON-00840,Healthcare,Spain,True
9,ACC-00009,Company 0009,Corporate,CON-05544,Construction,Spain,False
10,ACC-00010,Company 0010,Corporate,CON-04468,Healthcare,Spain,True
11,ACC-00011,Company 0011,Corporate,CON-00713,Technology,Spain,True
12,ACC-00012,Company 0012,Corporate,CON-04838,Healthcare,Spain,False
13,ACC-00013,Company 0013,Corporate,CON-03457,Healthcare,Spain,True
14,ACC-00014,Company 0014,Corporate,CON-00261,Technology,Spain,True
15,ACC-00015,Company 0015,Corporate,CON-00245,Construction,Spain,True
16,ACC-00016,Company 0016,Corporate,CON-00768,Technology,Spain,True
17,ACC-00017,Company 0017,Corporate,CON-01792,Hospitality,Spain,True
18,ACC-00018,Company 0018,Corporate,CON-01906,Hospitality,Spain,True
19,ACC-00019,Company 0019,Corporate,CON-04140,Retail,Spain,True
20,ACC-00020,Company 0020,Corporate,CON-04932,Construction,Spain,False
21,ACC-00021,Company 0021,Corporate,CON-00218,Logistics,Spain,True
22,ACC-00022,Company 0022,Corporate,CON-04598,Technology,Spain,False
23,ACC-00023,Company 0023,Corporate,CON-01629,Hospitality,Spain,True
24,ACC-00024,Company 0024,Corporate,CON-05324,Hospitality,Spain,False
25,ACC-00025,Company 0025,Corporate,CON-05746,Hospitality,Spain,False
26,ACC-00026,Company 0026,Corporate,CON-04465,Hospitality,Spain,True
27,ACC-00027,Company 0027,Corporate,CON-03437,Retail,Spain,True
28,ACC-00028,Company 0028,Corporate,CON-01806,Healthcare,Spain,True
29,ACC-00029,Company 0029,Corporate,CON-03680,Technology,Spain,True
30,ACC-00030,Company 0030,Corporate,CON-04828,Hospitality,Spain,True
31,ACC-00031,Company 0031,Corporate,CON-02279,Technology,Spain,True
32,ACC-00032,Company 0032,Corporate,CON-00054,Retail,Spain,True
33,ACC-00033,Company 0033,Corporate,CON-01308,Construction,Spain,True
34,ACC-00034,Company 0034,Corporate,CON-05720,Logistics,Spain,True
35,ACC-00035,Company 0035,Corporate,CON-03463,Retail,Spain,True
36,ACC-00036,Company 0036,Corporate,CON-02788,Hospitality,Spain,False
37,ACC-00037,Company 0037,Corporate,CON-02277,Healthcare,Spain,True
38,ACC-00038,Company 0038,Corporate,CON-01274,Hospitality,Spain,False
39,ACC-00039,Company 0039,Corporate,CON-01764,Healthcare,Spain,True
40,ACC-00040,Company 0040,Corporate,CON-02758,Healthcare,Spain,True
41,ACC-00041,Company 0041,Corporate,CON-00838,Hospitality,Spain,True
42,ACC-00042,Company 0042,Corporate,CON-00760,Healthcare,Spain,True
43,ACC-00043,Company 0043,Corporate,CON-03113,Construction,Spain,True
44,ACC-00044,Company 0044,Corporate,CON-00793,Retail,Spain,False
45,ACC-00045,Company 0045,Corporate,CON-02941,Hospitality,Spain,True
46,ACC-00046,Company 0046,Corporate,CON-02818,Retail,Spain,True
47,ACC-00047,Company 0047,Corporate,CON-04946,Healthcare,Spain,True
48,ACC-00048,Company 0048,Corporate,CON-02167,Construction,Spain,False
49,ACC-00049,Company 0049,Corporate,CON-00356,Hospitality,Spain,False
50,ACC-00050,Company 0050,Corporate,CON-03764,Healthcare,Spain,False
51,ACC-00051,Company 0051,Corporate,CON-04393,Healthcare,Spain,False
52,ACC-00052,Company 0052,Corporate,CON-01023,Healthcare,Spain,True
53,ACC-00053,Company 0053,Corporate,CON-03101,Logistics,Spain,True
54,ACC-00054,Company 0054,Corporate,CON-00646,Construction,Spain,True
55,ACC-00055,Company 0055,Corporate,CON-04523,Logistics,Spain,True
56,ACC-00056,Company 0056,Corporate,CON-02402,Construction,Spain,True
57,ACC-00057,Company 0057,Corporate,CON-05150,Construction,Spain,False
58,ACC-00058,Company 0058,Corporate,CON-05067,Hospitality,Spain,False
59,ACC-00059,Company 0059,Corporate,CON-02963,Hospitality,Spain,True
60,ACC-00060,Company 0060,Corporate,CON-04730,Hospitality,Spain,True
61,ACC-00061,Company 0061,Corporate,CON-01576,Retail,Spain,True
62,ACC-00062,Company 0062,Corporate,CON-00570,Hospitality,Spain,True
63,ACC-00063,Company 0063,Corporate,CON-00376,Technology,Spain,False
64,ACC-00064,Company 0064,Corporate,CON-05418,Hospitality,Spain,True
65,ACC-00065,Company 0065,Corporate,CON-01867,Healthcare,Spain,True
66,ACC-00066,Company 0066,Corporate,CON-02371,Technology,Spain,True
