feedback_id,case_id,contact_id,dealer_id,vehicle_id,survey_date_key,csat_score,nps_score,comment_text
FDB-00001,CASE-00002,CON-04932,DLR-04,VHL-033,20230306,3,5,Average experience
FDB-00002,CASE-00003,CON-05720,DLR-01,VHL-011,20230719,4,7,Satisfied but communication could improve
FDB-00003,CASE-00005,CON-04730,DLR-10,VHL-024,20240825,5,9,Very smooth service experience
FDB-00004,CASE-00006,CON-02278,DLR-02,VHL-025,20230616,5,9,Excellent support from the service team
FDB-00005,CASE-00007,CON-04991,DLR-11,VHL-005,20241112,4,7,Satisfied but communication could improve
FDB-00006,CASE-00009,CON-01742,DLR-12,VHL-021,20240214,4,8,Issue solved with minor delays
FDB-00007,CASE-00011,CON-05141,DLR-02,VHL-010,20230131,5,10,Excellent support from the service team
FDB-00008,CASE-00012,CON-05573,DLR-09,VHL-001,20240119,5,9,Very smooth service experience
FDB-00009,CASE-00014,CON-04345,DLR-03,VHL-035,20230420,4,7,Good overall service
FDB-00010,CASE-00016,CON-01353,DLR-08,VHL-036,20230404,3,5,Average experience
FDB-00011,CASE-00027,CON-04743,DLR-10,VHL-016,20241119,4,7,Issue solved with minor delays
FDB-00012,CASE-00034,CON-00296,DLR-03,VHL-035,20240519,4,7,Satisfied but communication could improve
FDB-00013,CASE-00035,CON-01721,DLR-01,VHL-023,20240803,4,9,Satisfied but communication could improve
FDB-00014,CASE-00036,CON-01332,DLR-03,VHL-016,20240327,3,6,Service was acceptable
FDB-00015,CASE-00038,CON-00194,DLR-04,VHL-015,20230808,2,3,Resolution took too long
FDB-00016,CASE-00042,CON-04155,DLR-12,VHL-020,20240908,4,7,Issue solved with minor delays
FDB-00017,CASE-00044,CON-02640,DLR-10,VHL-042,20240723,4,9,Satisfied but communication could improve
FDB-00018,CASE-00046,CON-00201,DLR-04,VHL-010,20230811,3,6,Problem solved but took longer than expected
FDB-00019,CASE-00049,CON-04579,DLR-11,VHL-034,20240731,4,7,Satisfied but communication could improve
FDB-00020,CASE-00051,CON-01960,DLR-08,VHL-041,20240716,4,8,Satisfied but communication could improve
FDB-00021,CASE-00053,CON-05698,DLR-07,VHL-038,20240826,5,10,Excellent support from the service team
FDB-00022,CASE-00057,CON-00671,DLR-07,VHL-017,20240703,3,5,Service was acceptable
FDB-00023,CASE-00059,CON-01375,DLR-05,VHL-024,20231204,4,7,Issue solved with minor delays
FDB-00024,CASE-00063,CON-01443,DLR-03,VHL-028,20231202,3,6,Service was acceptable
FDB-00025,CASE-00068,CON-04350,DLR-08,VHL-036,20240224,4,7,Good overall service
FDB-00026,CASE-00071,CON-04534,DLR-01,VHL-004,20230402,4,8,Good overall service
FDB-00027,CASE-00073,CON-00440,DLR-11,VHL-044,20230220,4,8,Satisfied but communication could improve
FDB-00028,CASE-00075,CON-01703,DLR-10,VHL-007,20240325,4,7,Good overall service
FDB-00029,CASE-00079,CON-04424,DLR-05,VHL-033,20231022,3,5,Average experience
FDB-00030,CASE-00080,CON-04713,DLR-04,VHL-044,20230117,2,3,Needed multiple follow-ups to get help
FDB-00031,CASE-00081,CON-02279,DLR-11,VHL-029,20231210,4,7,Satisfied but communication could improve
FDB-00032,CASE-00083,CON-02649,DLR-06,VHL-017,20231128,5,10,Very smooth service experience
FDB-00033,CASE-00086,CON-03781,DLR-04,VHL-008,20231029,3,6,Service was acceptable
FDB-00034,CASE-00087,CON-01997,DLR-08,VHL-031,20231031,2,3,Service delay caused frustration
FDB-00035,CASE-00093,CON-00658,DLR-07,VHL-042,20240327,5,10,Quick resolution and good communication
FDB-00036,CASE-00096,CON-04352,DLR-03,VHL-016,20230928,3,5,Problem solved but took longer than expected
FDB-00037,CASE-00097,CON-04778,DLR-04,VHL-032,20240326,4,8,Satisfied but communication could improve
FDB-00038,CASE-00098,CON-00606,DLR-09,VHL-011,20230723,3,5,Service was acceptable
FDB-00039,CASE-00099,CON-00874,DLR-07,VHL-031,20230803,3,5,Average experience
FDB-00040,CASE-00101,CON-04974,DLR-05,VHL-015,20240831,4,7,Satisfied but communication could improve
FDB-00041,CASE-00107,CON-03804,DLR-02,VHL-041,20230610,5,10,Quick resolution and good communication
FDB-00042,CASE-00108,CON-04404,DLR-02,VHL-016,20231230,3,5,Problem solved but took longer than expected
FDB-00043,CASE-00110,CON-00814,DLR-04,VHL-024,20231117,4,9,Good overall service
FDB-00044,CASE-00113,CON-02272,DLR-10,VHL-001,20240723,4,8,Issue solved with minor delays
FDB-00045,CASE-00115,CON-00894,DLR-09,VHL-038,20240716,3,5,Service was acceptable
FDB-00046,CASE-00116,CON-00256,DLR-08,VHL-042,20240114,4,8,Issue solved with minor delays
FDB-00047,CASE-00119,CON-01872,DLR-07,VHL-029,20240920,4,8,Satisfied but communication could improve
FDB-00048,CASE-00120,CON-05627,DLR-06,VHL-010,20240427,5,10,Excellent support from the service team
FDB-00049,CASE-00125,CON-00051,DLR-06,VHL-023,20240706,4,8,Good overall service
FDB-00050,CASE-00128,CON-01766,DLR-07,VHL-018,20240316,3,5,Problem solved but took longer than expected
FDB-00051,CASE-00129,CON-01807,DLR-05,VHL-003,20240124,4,8,Issue solved with minor delays
FDB-00052,CASE-00130,CON-04075,DLR-02,VHL-001,20230725,4,8,Satisfied but communication could improve
FDB-00053,CASE-00134,CON-05188,DLR-02,VHL-033,20240719,4,7,Good overall service
FDB-00054,CASE-00138,CON-03783,DLR-02,VHL-020,20230912,4,8,Satisfied but communication could improve
FDB-00055,CASE-00141,CON-04294,DLR-08,VHL-029,20230630,3,6,Average experience
FDB-00056,CASE-00142,CON-05303,DLR-01,VHL-041,20240510,5,9,Very smooth service experience
FDB-00057,CASE-00143,CON-00668,DLR-03,VHL-022,20241020,4,9,Satisfied but communication could improve
FDB-00058,CASE-00144,CON-02537,DLR-12,VHL-006,20230402,3,6,Service was acceptable
FDB-00059,CASE-00145,CON-00766,DLR-11,VHL-034,20240621,4,8,Satisfied but communication could improve
FDB-00060,CASE-00148,CON-00358,DLR-12,VHL-029,20241018,3,6,Average experience
FDB-00061,CASE-00149,CON-01960,DLR-04,VHL-035,20240721,2,2,Needed multiple follow-ups to get help
FDB-00062,CASE-00153,CON-00669,DLR-04,VHL-025,20240107,4,8,Satisfied but communication could improve
FDB-00063,CASE-00155,CON-04324,DLR-09,VHL-039,20240828,4,7,Issue solved with minor delays
FDB-00064,CASE-00156,CON-04889,DLR-02,VHL-032,20231128,3,5,Average experience
FDB-00065,CASE-00158,CON-00357,DLR-07,VHL-031,20240205,5,9,Excellent support from the service team
FDB-00066,CASE-00163,CON-04065,DLR-06,VHL-012,20241127,5,10,Quick resolution and good communication
FDB-00067,CASE-00165,CON-02880,DLR-12,VHL-029,20231104,4,9,Issue solved with minor delays
FDB-00068,CASE-00166,CON-05223,DLR-02,VHL-043,20241120,5,9,Excellent support from the service team
FDB-00069,CASE-00167,CON-01035,DLR-08,VHL-003,20240317,4,7,Good overall service
FDB-00070,CASE-00169,CON-04242,DLR-03,VHL-032,20230122,4,8,Issue solved with minor delays
FDB-00071,CASE-00171,CON-02847,DLR-06,VHL-043,20240514,3,7,Average experience
FDB-00072,CASE-00172,CON-01837,DLR-06,VHL-033,20240407,5,9,Quick resolution and good communication
FDB-00073,CASE-00173,CON-05014,DLR-09,VHL-009,20231207,4,7,Good overall service
FDB-00074,CASE-00175,CON-03545,DLR-03,VHL-009,20240409,5,10,Excellent support from the service team
FDB-00075,CASE-00178,CON-00373,DLR-01,VHL-006,20240215,3,7,Service was acceptable
FDB-00076,CASE-00183,CON-02528,DLR-08,VHL-032,20241228,5,9,Quick resolution and good communication
FDB-00077,CASE-00184,CON-05360,DLR-08,VHL-039,20230202,4,9,Good overall service
FDB-00078,CASE-00186,CON-05006,DLR-10,VHL-044,20240207,4,7,Good overall service
FDB-00079,CASE-00193,CON-05782,DLR-12,VHL-004,20241103,3,5,Average experience
FDB-00080,CASE-00195,CON-02286,DLR-04,VHL-016,20240317,2,4,Needed multiple follow-ups to get help
FDB-00081,CASE-00197,CON-01200,DLR-07,VHL-023,20240128,4,8,Satisfied but communication could improve
FDB-00082,CASE-00199,CON-01908,DLR-04,VHL-041,20241021,4,8,Good overall service
FDB-00083,CASE-00201,CON-04704,DLR-02,VHL-042,20241022,4,8,Good overall service
FDB-00084,CASE-00204,CON-01332,DLR-02,VHL-022,20230523,4,8,Good overall service
FDB-00085,CASE-00205,CON-05005,DLR-04,VHL-012,20240214,4,8,Issue solved with minor delays
FDB-00086,CASE-00206,CON-00056,DLR-06,VHL-016,20230410,4,9,Issue solved with minor delays
FDB-00087,CASE-00207,CON-02946,DLR-05,VHL-042,20240218,5,10,Excellent support from the service team
FDB-00088,CASE-00211,CON-04397,DLR-04,VHL-037,20241018,4,9,Good overall service
FDB-00089,CASE-00214,CON-02352,DLR-08,VHL-003,20241016,4,8,Issue solved with minor delays
FDB-00090,CASE-00216,CON-04333,DLR-09,VHL-026,20230508,4,8,Satisfied but communication could improve
FDB-00091,CASE-00217,CON-04358,DLR-09,VHL-028,20240506,4,9,Good overall service
FDB-00092,CASE-00218,CON-05409,DLR-02,VHL-003,20240610,3,6,Average experience
FDB-00093,CASE-00224,CON-03381,DLR-01,VHL-036,20231203,4,8,Satisfied but communication could improve
FDB-00094,CASE-00228,CON-05315,DLR-08,VHL-035,20230723,3,7,Service was acceptable
FDB-00095,CASE-00229,CON-03037,DLR-06,VHL-014,20240608,4,8,Issue solved with minor delays
FDB-00096,CASE-00232,CON-04293,DLR-11,VHL-004,20240127,3,6,Problem solved but took longer than expected
FDB-00097,CASE-00236,CON-02904,DLR-09,VHL-017,20230526,3,6,Average experience
FDB-00098,CASE-00237,CON-00661,DLR-05,VHL-044,20240522,4,7,Satisfied but communication could improve
FDB-00099,CASE-00239,CON-01732,DLR-01,VHL-015,20241012,4,8,Satisfied but communication could improve
FDB-00100,CASE-00240,CON-02577,DLR-01,VHL-012,20240213,4,8,Satisfied but communication could improve
FDB-00101,CASE-00241,CON-03188,DLR-04,VHL-037,20230426,3,5,Service was acceptable
FDB-00102,CASE-00244,CON-00603,DLR-05,VHL-016,20240716,3,7,Average experience
FDB-00103,CASE-00246,CON-00216,DLR-07,VHL-007,20240207,4,7,Good overall service
FDB-00104,CASE-00247,CON-04584,DLR-07,VHL-006,20230726,4,9,Satisfied but communication could improve
FDB-00105,CASE-00249,CON-01602,DLR-10,VHL-040,20240405,3,6,Service was acceptable
FDB-00106,CASE-00254,CON-03679,DLR-07,VHL-005,20231104,4,8,Good overall service
FDB-00107,CASE-00256,CON-05285,DLR-01,VHL-037,20240414,5,10,Excellent support from the service team
FDB-00108,CASE-00258,CON-02826,DLR-09,VHL-010,20240301,4,7,Good overall service
FDB-00109,CASE-00274,CON-05768,DLR-03,VHL-021,20240313,4,7,Satisfied but communication could improve
FDB-00110,CASE-00275,CON-02272,DLR-07,VHL-004,20230306,4,8,Issue solved with minor delays
FDB-00111,CASE-00277,CON-05692,DLR-09,VHL-018,20230306,3,5,Problem solved but took longer than expected
FDB-00112,CASE-00278,CON-05441,DLR-08,VHL-041,20230305,4,7,Satisfied but communication could improve
FDB-00113,CASE-00279,CON-02324,DLR-05,VHL-021,20230606,4,7,Issue solved with minor delays
FDB-00114,CASE-00282,CON-00425,DLR-11,VHL-011,20240428,4,8,Satisfied but communication could improve
FDB-00115,CASE-00284,CON-01083,DLR-07,VHL-045,20230325,4,8,Issue solved with minor delays
FDB-00116,CASE-00291,CON-00113,DLR-10,VHL-005,20230217,3,6,Problem solved but took longer than expected
FDB-00117,CASE-00298,CON-01872,DLR-12,VHL-008,20240221,4,7,Issue solved with minor delays
FDB-00118,CASE-00311,CON-04507,DLR-08,VHL-036,20231020,3,6,Problem solved but took longer than expected
FDB-00119,CASE-00312,CON-03050,DLR-04,VHL-026,20230609,5,9,Quick resolution and good communication
FDB-00120,CASE-00313,CON-05292,DLR-02,VHL-013,20230119,5,9,Quick resolution and good communication
FDB-00121,CASE-00314,CON-04702,DLR-01,VHL-011,20241118,5,10,Quick resolution and good communication
FDB-00122,CASE-00315,CON-02293,DLR-03,VHL-018,20230605,3,5,Average experience
FDB-00123,CASE-00317,CON-03930,DLR-07,VHL-023,20240728,5,10,Very smooth service experience
FDB-00124,CASE-00323,CON-00180,DLR-06,VHL-004,20230508,2,2,Resolution took too long
FDB-00125,CASE-00324,CON-03241,DLR-06,VHL-043,20241201,5,10,Very smooth service experience
FDB-00126,CASE-00326,CON-02413,DLR-05,VHL-045,20230510,5,10,Quick resolution and good communication
FDB-00127,CASE-00327,CON-02607,DLR-03,VHL-039,20240217,2,4,Issue was not resolved properly the first time
FDB-00128,CASE-00329,CON-00886,DLR-06,VHL-017,20240520,4,7,Satisfied but communication could improve
FDB-00129,CASE-00330,CON-00831,DLR-09,VHL-025,20230930,4,7,Satisfied but communication could improve
FDB-00130,CASE-00332,CON-04867,DLR-02,VHL-022,20230219,4,9,Good overall service
FDB-00131,CASE-00333,CON-01557,DLR-06,VHL-014,20230204,2,4,Resolution took too long
FDB-00132,CASE-00334,CON-04684,DLR-01,VHL-026,20230623,4,8,Satisfied but communication could improve
FDB-00133,CASE-00336,CON-02171,DLR-08,VHL-043,20231015,4,9,Good overall service
FDB-00134,CASE-00337,CON-02158,DLR-08,VHL-030,20230130,4,8,Issue solved with minor delays
FDB-00135,CASE-00338,CON-04832,DLR-09,VHL-027,20240501,2,4,Issue was not resolved properly the first time
FDB-00136,CASE-00341,CON-05597,DLR-07,VHL-006,20230330,5,10,Excellent support from the service team
FDB-00137,CASE-00344,CON-02344,DLR-10,VHL-007,20241103,4,7,Satisfied but communication could improve
FDB-00138,CASE-00346,CON-03052,DLR-08,VHL-018,20230131,4,8,Satisfied but communication could improve
FDB-00139,CASE-00351,CON-01455,DLR-10,VHL-029,20230928,5,9,Very smooth service experience
FDB-00140,CASE-00352,CON-03167,DLR-05,VHL-002,20240519,2,3,Service delay caused frustration
FDB-00141,CASE-00355,CON-04789,DLR-10,VHL-026,20240506,3,6,Problem solved but took longer than expected
FDB-00142,CASE-00356,CON-03947,DLR-11,VHL-007,20230722,5,9,Quick resolution and good communication
FDB-00143,CASE-00360,CON-05388,DLR-05,VHL-011,20230917,3,5,Average experience
FDB-00144,CASE-00361,CON-05362,DLR-11,VHL-022,20230514,4,8,Issue solved with minor delays
FDB-00145,CASE-00363,CON-04341,DLR-11,VHL-025,20240101,4,8,Satisfied but communication could improve
FDB-00146,CASE-00366,CON-00039,DLR-08,VHL-025,20231107,3,5,Service was acceptable
FDB-00147,CASE-00367,CON-00034,DLR-01,VHL-044,20240122,4,8,Issue solved with minor delays
FDB-00148,CASE-00372,CON-03887,DLR-09,VHL-017,20231003,3,6,Problem solved but took longer than expected
FDB-00149,CASE-00373,CON-01124,DLR-10,VHL-045,20230713,5,9,Excellent support from the service team
FDB-00150,CASE-00374,CON-01637,DLR-04,VHL-039,20230316,4,7,Satisfied but communication could improve
FDB-00151,CASE-00377,CON-00818,DLR-08,VHL-004,20230728,4,8,Issue solved with minor delays
FDB-00152,CASE-00381,CON-03590,DLR-10,VHL-044,20240302,4,7,Good overall service
FDB-00153,CASE-00382,CON-03999,DLR-03,VHL-031,20240614,3,6,Problem solved but took longer than expected
FDB-00154,CASE-00383,CON-04629,DLR-12,VHL-037,20240117,4,8,Issue solved with minor delays
FDB-00155,CASE-00384,CON-02833,DLR-04,VHL-031,20240429,3,5,Problem solved but took longer than expected
FDB-00156,CASE-00386,CON-01825,DLR-01,VHL-033,20241208,4,9,Issue solved with minor delays
