lead_id,created_date_key,dealer_id,contact_id,lead_source,lead_status,vehicle_interest,assigned_to_rep,first_response_hours,is_converted,converted_date_key,opportunity_id,lost_reason,age_at_close_days,region
LD-00001,20240406,DLR-05,CON-02007,Web Form,Lost,VHL-015,REP-05,10.49,False,,,Bought Elsewhere,6,South
LD-00002,20240306,DLR-02,CON-01792,Web Form,Qualified,VHL-015,REP-17,7.95,False,,,,22,North
LD-00003,20240413,DLR-04,CON-03680,Walk-in,New,VHL-038,REP-09,0.69,False,,,,25,South
LD-00004,20230421,DLR-05,CON-01274,Walk-in,Converted,VHL-014,REP-11,0.96,True,20230421.0,OPP-01458,,25,South
LD-00005,20230311,DLR-10,CON-02167,Campaign,New,VHL-003,REP-24,21.66,False,,,,29,West
LD-00006,20231002,DLR-11,CON-05067,Walk-in,Converted,VHL-024,REP-19,0.43,True,20231002.0,OPP-02634,,5,West
LD-00007,20230203,DLR-05,CON-00654,Web Form,Qualified,VHL-015,REP-04,14.82,False,,,,26,South
LD-00008,20230923,DLR-04,CON-05491,Walk-in,Lost,VHL-018,REP-23,0.73,False,,,Bought Elsewhere,11,South
LD-00009,20240126,DLR-08,CON-03109,Web Form,Working,VHL-018,REP-21,6.62,False,,,,10,East
LD-00010,20240909,DLR-04,CON-00263,Campaign,Working,VHL-021,REP-13,29.43,False,,,,30,South
LD-00011,20240219,DLR-04,CON-05370,Campaign,Lost,VHL-032,REP-13,19.37,False,,,No Response,9,South
LD-00012,20230624,DLR-05,CON-04789,Walk-in,Converted,VHL-028,REP-19,0.36,True,20230624.0,OPP-02874,,15,South
LD-00013,20241229,DLR-08,CON-00745,Web Form,Converted,VHL-004,REP-04,9.47,True,20241229.0,OPP-03529,,11,East
LD-00014,20240726,DLR-02,CON-03153,Walk-in,Qualified,VHL-025,REP-20,0.1,False,,,,17,North
LD-00015,20240920,DLR-12,CON-00939,Web Form,Lost,VHL-044,REP-18,1.6,False,,,No Response,19,West
LD-00016,20231112,DLR-12,CON-02158,Walk-in,Converted,VHL-033,REP-06,0.33,True,20231112.0,OPP-04178,,7,West
LD-00017,20240926,DLR-11,CON-04159,Web Form,Converted,VHL-039,REP-07,4.45,True,20240926.0,OPP-03534,,11,West
LD-00018,20240130,DLR-09,CON-00005,Campaign,New,VHL-039,REP-11,27.14,False,,,,11,East
LD-00019,20241002,DLR-05,CON-01962,Campaign,Lost,VHL-004,REP-08,14.92,False,,,No Response,32,South
LD-00020,20240817,DLR-09,CON-01031,Phone Inbound,Qualified,VHL-009,REP-22,0.1,False,,,,8,East
LD-00021,20240121,DLR-04,CON-04418,Referral,Working,VHL-045,REP-07,5.2,False,,,,21,South
LD-00022,20240413,DLR-09,CON-03699,Walk-in,Converted,VHL-008,REP-08,0.43,True,20240413.0,OPP-01200,,22,East
LD-00023,20230116,DLR-10,CON-01805,Walk-in,New,VHL-001,REP-03,0.52,False,,,,2,West
LD-00024,20241021,DLR-02,CON-04212,Campaign,Working,VHL-016,REP-09,9.75,False,,,,4,North
LD-00025,20240606,DLR-10,CON-03873,Social Media,Working,VHL-016,REP-16,29.47,False,,,,3,West
LD-00026,20240420,DLR-07,CON-03826,Walk-in,Lost,VHL-004,REP-22,0.53,False,,,Price,47,East
LD-00027,20230907,DLR-04,CON-01570,Campaign,Qualified,VHL-013,REP-18,12.49,False,,,,8,South
LD-00028,20231203,DLR-02,CON-03631,Social Media,Converted,VHL-036,REP-04,40.51,True,20231203.0,OPP-01578,,35,North
LD-00029,20240905,DLR-04,CON-01363,Phone Inbound,Lost,VHL-027,REP-16,0.16,False,,,Other,11,South
LD-00030,20231003,DLR-05,CON-03728,Phone Inbound,Lost,VHL-019,REP-14,0.21,False,,,No Response,43,South
LD-00031,20240602,DLR-05,CON-01784,Web Form,New,VHL-004,REP-19,6.09,False,,,,10,South
LD-00032,20230211,DLR-09,CON-04351,Referral,New,VHL-011,REP-02,5.78,False,,,,5,East
LD-00033,20230220,DLR-04,CON-03308,Web Form,Qualified,VHL-008,REP-19,8.45,False,,,,19,South
LD-00034,20230302,DLR-10,CON-04283,Referral,Converted,VHL-021,REP-09,1.41,True,20230302.0,OPP-00477,,21,West
LD-00035,20230618,DLR-11,CON-05288,Walk-in,Converted,VHL-020,REP-15,0.75,True,20230618.0,OPP-03835,,5,West
LD-00036,20230107,DLR-10,CON-00820,Referral,Converted,VHL-005,REP-18,1.17,True,20230107.0,OPP-03352,,17,West
LD-00037,20230401,DLR-02,CON-02002,Web Form,Converted,VHL-024,REP-10,9.34,True,20230401.0,OPP-03020,,35,North
LD-00038,20240522,DLR-11,CON-04334,Referral,Working,VHL-001,REP-22,0.1,False,,,,21,West
LD-00039,20230315,DLR-05,CON-00946,Social Media,Working,VHL-007,REP-24,20.06,False,,,,19,South
LD-00040,20230528,DLR-11,CON-05196,Web Form,Lost,VHL-017,REP-17,9.29,False,,,Bought Elsewhere,6,West
LD-00041,20240402,DLR-01,CON-00030,Campaign,Working,VHL-022,REP-05,31.38,False,,,,23,North
LD-00042,20231118,DLR-09,CON-00080,Referral,Lost,VHL-008,REP-03,3.26,False,,,Price,3,East
LD-00043,20240904,DLR-03,CON-03521,Referral,Converted,VHL-009,REP-02,2.83,True,20240904.0,OPP-00901,,3,North
LD-00044,20241017,DLR-04,CON-05464,Web Form,Lost,VHL-007,REP-12,7.3,False,,,Price,40,South
LD-00045,20240626,DLR-04,CON-01332,Social Media,Converted,VHL-012,REP-14,18.26,True,20240626.0,OPP-02589,,22,South
LD-00046,20240719,DLR-11,CON-02033,Walk-in,New,VHL-018,REP-06,0.28,False,,,,27,West
LD-00047,20230129,DLR-04,CON-03771,Walk-in,Lost,VHL-023,REP-10,0.36,False,,,Price,43,South
LD-00048,20230515,DLR-02,CON-02287,Web Form,Lost,VHL-023,REP-21,12.73,False,,,Bought Elsewhere,22,North
LD-00049,20241115,DLR-05,CON-01463,Web Form,Converted,VHL-038,REP-09,9.87,True,20241115.0,OPP-00685,,39,South
LD-00050,20231112,DLR-06,CON-03575,Campaign,Converted,VHL-039,REP-17,6.37,True,20231112.0,OPP-02965,,37,South
LD-00051,20230513,DLR-07,CON-00014,Web Form,Lost,VHL-034,REP-18,9.8,False,,,No Budget,13,East
LD-00052,20230923,DLR-11,CON-02705,Web Form,New,VHL-040,REP-11,6.96,False,,,,28,West
LD-00053,20230802,DLR-07,CON-02673,Web Form,New,VHL-026,REP-23,5.79,False,,,,13,East
LD-00054,20240424,DLR-12,CON-01426,Walk-in,Converted,VHL-040,REP-19,0.68,True,20240424.0,OPP-04245,,36,West
LD-00055,20240903,DLR-04,CON-03522,Web Form,Qualified,VHL-038,REP-20,12.62,False,,,,14,South
LD-00056,20240502,DLR-12,CON-01391,Walk-in,Converted,VHL-043,REP-03,0.78,True,20240502.0,OPP-00163,,43,West
LD-00057,20240401,DLR-04,CON-05512,Web Form,Working,VHL-020,REP-08,5.14,False,,,,1,South
LD-00058,20230623,DLR-02,CON-03731,Walk-in,Lost,VHL-027,REP-21,0.41,False,,,Bought Elsewhere,26,North
LD-00059,20230622,DLR-01,CON-00874,Referral,Converted,VHL-028,REP-08,3.5,True,20230622.0,OPP-02401,,45,North
LD-00060,20240114,DLR-04,CON-00995,Web Form,Lost,VHL-030,REP-05,12.4,False,,,Other,39,South
