opportunity_id,lead_id,account_id,contact_id,vehicle_id,dealer_id,stage,deal_value_eur,discount_pct,net_revenue_eur,close_date_key,sales_cycle_days,lost_reason,probability_pct
OPP-00001,LD-00565,ACC-01004,CON-03322,VHL-038,DLR-07,Closed Won,52000.0,1.18,51386.4,20240821.0,35,,100
OPP-00002,LD-14192,ACC-02419,CON-04779,VHL-021,DLR-10,Negotiation,38000.0,8.39,34811.8,,12,,75
OPP-00003,LD-03732,ACC-00953,CON-01145,VHL-002,DLR-03,Closed Won,22000.0,2.24,21507.2,20240801.0,20,,100
OPP-00004,LD-04121,ACC-02933,CON-04089,VHL-039,DLR-03,Closed Won,58000.0,1.19,57309.8,20230421.0,30,,100
OPP-00005,LD-02821,ACC-01840,CON-04187,VHL-006,DLR-11,Closed Won,36000.0,6.36,33710.4,20240510.0,21,,100
OPP-00006,LD-09622,ACC-03109,CON-03284,VHL-039,DLR-06,Closed Won,58000.0,6.67,54131.4,20240129.0,18,,100
OPP-00007,LD-08609,ACC-01139,CON-04430,VHL-017,DLR-01,Closed Won,27000.0,8.78,24629.4,20240120.0,28,,100
OPP-00008,LD-13899,ACC-00419,CON-04537,VHL-014,DLR-09,Proposal,33000.0,8.7,30129.0,,28,,50
OPP-00009,LD-03799,ACC-02473,CON-03414,VHL-043,DLR-06,Qualified,82000.0,1.58,80704.4,,40,,25
OPP-00010,LD-05330,ACC-02197,CON-03641,VHL-011,DLR-01,Negotiation,34000.0,2.3,33218.0,,36,,75
OPP-00011,LD-03039,ACC-02262,CON-00591,VHL-024,DLR-04,Proposal,24000.0,9.88,21628.8,,12,,50
OPP-00012,LD-11600,ACC-02365,CON-00668,VHL-020,DLR-01,Negotiation,25000.0,7.53,23117.5,,30,,75
OPP-00013,LD-01700,ACC-03167,CON-00981,VHL-015,DLR-10,Proposal,48000.0,2.49,46804.8,,21,,50
OPP-00014,LD-01789,ACC-00414,CON-03670,VHL-001,DLR-12,Negotiation,18000.0,2.56,17539.2,,21,,75
OPP-00015,LD-05060,ACC-00667,CON-02665,VHL-033,DLR-06,Closed Won,28000.0,6.58,26157.6,20230507.0,30,,100
OPP-00016,LD-12638,ACC-02875,CON-02519,VHL-038,DLR-01,Closed Won,52000.0,2.47,50715.6,20241103.0,35,,100
OPP-00017,LD-10824,ACC-02188,CON-00731,VHL-006,DLR-11,Closed Lost,36000.0,8.48,32947.2,20240821.0,17,Delay,0
OPP-00018,LD-02337,ACC-02805,CON-04693,VHL-032,DLR-09,Proposal,58000.0,5.54,54786.8,,21,,50
OPP-00019,LD-10493,ACC-00939,CON-03029,VHL-023,DLR-12,Closed Won,52000.0,9.41,47106.8,20240928.0,10,,100
OPP-00020,LD-04946,ACC-01097,CON-02833,VHL-042,DLR-10,Closed Won,62000.0,6.64,57883.2,20240120.0,43,,100
OPP-00021,LD-12453,ACC-00871,CON-00049,VHL-031,DLR-05,Qualified,45000.0,9.81,40585.5,,27,,25
OPP-00022,LD-01104,ACC-00586,CON-05731,VHL-007,DLR-11,Closed Won,39000.0,5.17,36983.7,20241223.0,36,,100
OPP-00023,LD-08496,ACC-02208,CON-05435,VHL-045,DLR-07,Negotiation,85000.0,2.48,82892.0,,53,,75
OPP-00024,LD-06460,ACC-01483,CON-02836,VHL-014,DLR-06,Negotiation,33000.0,6.09,30990.3,,32,,75
OPP-00025,LD-03762,ACC-00373,CON-05486,VHL-018,DLR-04,Proposal,35000.0,10.48,31332.0,,38,,50
OPP-00026,LD-06183,ACC-02571,CON-02937,VHL-017,DLR-12,Closed Won,27000.0,10.25,24232.5,20230721.0,16,,100
OPP-00027,LD-06624,ACC-01577,CON-03826,VHL-012,DLR-01,Proposal,70000.0,6.76,65268.0,,11,,50
OPP-00028,LD-15787,ACC-02267,CON-02381,VHL-014,DLR-02,Closed Won,33000.0,9.97,29709.9,20240212.0,23,,100
OPP-00029,LD-05954,ACC-02793,CON-02178,VHL-039,DLR-05,Closed Won,58000.0,1.08,57373.6,20240125.0,25,,100
OPP-00030,LD-13350,ACC-00457,CON-00968,VHL-007,DLR-09,Closed Lost,39000.0,9.51,35291.1,20230517.0,28,Competitor,0
OPP-00031,LD-09057,ACC-02051,CON-02212,VHL-009,DLR-03,Proposal,35000.0,2.02,34293.0,,23,,50
OPP-00032,LD-03686,ACC-02562,CON-04108,VHL-037,DLR-02,Closed Won,45000.0,4.55,42952.5,20230211.0,24,,100
OPP-00033,LD-15226,ACC-00627,CON-03725,VHL-004,DLR-07,Negotiation,32000.0,6.47,29929.6,,19,,75
OPP-00034,LD-01669,ACC-02454,CON-04913,VHL-024,DLR-03,Closed Won,24000.0,3.95,23052.0,20230318.0,7,,100
OPP-00035,LD-02772,ACC-01260,CON-03910,VHL-019,DLR-02,Closed Won,29000.0,2.68,28222.8,20231021.0,30,,100
OPP-00036,LD-03150,ACC-00351,CON-02747,VHL-016,DLR-04,Negotiation,19000.0,4.43,18158.3,,12,,75
OPP-00037,LD-15112,ACC-00526,CON-02625,VHL-012,DLR-11,Closed Won,70000.0,8.53,64029.0,20241107.0,15,,100
OPP-00038,LD-06014,ACC-01086,CON-00213,VHL-040,DLR-01,Closed Won,68000.0,7.63,62811.6,20241231.0,28,,100
OPP-00039,LD-03078,ACC-02209,CON-04044,VHL-039,DLR-07,Closed Won,58000.0,5.25,54955.0,20230318.0,31,,100
OPP-00040,LD-08752,ACC-01635,CON-03106,VHL-033,DLR-04,Closed Won,28000.0,8.71,25561.2,20230810.0,26,,100
OPP-00041,LD-09298,ACC-02120,CON-02051,VHL-037,DLR-04,Closed Lost,45000.0,6.85,41917.5,20240908.0,46,Price,0
OPP-00042,LD-02683,ACC-02410,CON-01688,VHL-029,DLR-02,Negotiation,37000.0,3.01,35886.3,,8,,75
OPP-00043,LD-01137,ACC-00291,CON-04183,VHL-014,DLR-09,Closed Won,33000.0,6.71,30785.7,20241228.0,7,,100
OPP-00044,LD-15686,ACC-00129,CON-01235,VHL-014,DLR-01,Closed Won,33000.0,2.47,32184.9,20230228.0,11,,100
OPP-00045,LD-03418,ACC-01141,CON-03460,VHL-012,DLR-09,Closed Won,70000.0,2.57,68201.0,20240109.0,22,,100
OPP-00046,LD-09582,ACC-02963,CON-03753,VHL-027,DLR-12,Closed Won,47000.0,4.43,44917.9,20240725.0,15,,100
OPP-00047,LD-01981,ACC-00996,CON-04757,VHL-009,DLR-11,Closed Lost,35000.0,7.71,32301.5,20230427.0,37,Delay,0
OPP-00048,LD-12692,ACC-02700,CON-00136,VHL-030,DLR-06,Closed Won,31000.0,4.21,29694.9,20230327.0,13,,100
OPP-00049,LD-09868,ACC-02987,CON-02694,VHL-018,DLR-12,Closed Won,35000.0,6.31,32791.5,20230723.0,36,,100
OPP-00050,LD-10930,ACC-00249,CON-01863,VHL-034,DLR-06,Qualified,40000.0,7.73,36908.0,,13,,25
OPP-00051,LD-08973,ACC-01019,CON-01825,VHL-036,DLR-10,Closed Won,39000.0,3.38,37681.8,20240527.0,24,,100
OPP-00052,LD-06252,ACC-01729,CON-01734,VHL-014,DLR-11,Proposal,33000.0,5.75,31102.5,,15,,50
OPP-00053,LD-03509,ACC-01816,CON-02474,VHL-029,DLR-11,Proposal,37000.0,6.2,34706.0,,11,,50
OPP-00054,LD-13696,ACC-00208,CON-05200,VHL-034,DLR-06,Closed Won,40000.0,10.2,35920.0,20231209.0,13,,100
OPP-00055,LD-13105,ACC-00383,CON-00728,VHL-004,DLR-08,Closed Won,32000.0,6.32,29977.6,20240613.0,7,,100
OPP-00056,LD-07845,ACC-01665,CON-04681,VHL-021,DLR-07,Closed Lost,38000.0,11.84,33500.8,20240507.0,17,Price,0
OPP-00057,LD-11296,ACC-00675,CON-03610,VHL-007,DLR-03,Proposal,39000.0,4.81,37124.1,,10,,50
OPP-00058,LD-00088,ACC-01864,CON-00841,VHL-001,DLR-08,Closed Won,18000.0,9.88,16221.6,20241212.0,23,,100
OPP-00059,LD-00543,ACC-02712,CON-01048,VHL-037,DLR-01,Negotiation,45000.0,5.18,42669.0,,53,,75
OPP-00060,LD-07734,ACC-00892,CON-03507,VHL-041,DLR-06,Closed Won,48000.0,2.08,47001.6,20230530.0,36,,100
OPP-00061,LD-04112,ACC-00250,CON-00781,VHL-043,DLR-03,Closed Lost,82000.0,6.21,76907.8,20240817.0,52,Delay,0
OPP-00062,LD-00750,ACC-02176,CON-01644,VHL-040,DLR-08,Qualified,68000.0,4.51,64933.2,,50,,25
OPP-00063,LD-03257,ACC-00762,CON-02706,VHL-005,DLR-05,Proposal,30000.0,8.73,27381.0,,12,,50
OPP-00064,LD-02630,ACC-01654,CON-01071,VHL-006,DLR-10,Qualified,36000.0,2.48,35107.2,,22,,25
OPP-00065,LD-14251,ACC-02372,CON-01783,VHL-032,DLR-01,Proposal,58000.0,9.62,52420.4,,22,,50
OPP-00066,LD-08451,ACC-02693,CON-02963,VHL-040,DLR-02,Closed Won,68000.0,5.34,64368.8,20230430.0,44,,100
OPP-00067,LD-10448,ACC-00837,CON-00831,VHL-030,DLR-04,Closed Won,31000.0,7.21,28764.9,20240429.0,23,,100
OPP-00068,LD-10925,ACC-01622,CON-03986,VHL-025,DLR-01,Closed Won,69000.0,5.33,65322.3,20241220.0,23,,100
OPP-00069,LD-03935,ACC-01296,CON-05704,VHL-014,DLR-09,Proposal,33000.0,6.52,30848.4,,36,,50
OPP-00070,LD-02265,ACC-01878,CON-05541,VHL-007,DLR-06,Closed Lost,39000.0,11.36,34569.6,20231031.0,7,Price,0
OPP-00071,LD-09846,ACC-02073,CON-05547,VHL-011,DLR-08,Closed Won,34000.0,2.8,33048.0,20241005.0,20,,100
OPP-00072,LD-06275,ACC-01001,CON-03748,VHL-016,DLR-10,Negotiation,19000.0,9.97,17105.7,,11,,75
OPP-00073,LD-07811,ACC-02882,CON-04564,VHL-037,DLR-08,Closed Won,45000.0,2.1,44055.0,20241129.0,52,,100
OPP-00074,LD-04978,ACC-02736,CON-02969,VHL-021,DLR-03,Negotiation,38000.0,10.37,34059.4,,7,,75
OPP-00075,LD-04926,ACC-00551,CON-05176,VHL-007,DLR-09,Closed Won,39000.0,4.4,37284.0,20231024.0,13,,100
OPP-00076,LD-05964,ACC-01116,CON-04690,VHL-002,DLR-12,Negotiation,22000.0,8.23,20189.4,,16,,75
OPP-00077,LD-01853,ACC-00834,CON-02575,VHL-023,DLR-04,Negotiation,52000.0,4.19,49821.2,,28,,75
OPP-00078,LD-06152,ACC-01029,CON-01173,VHL-032,DLR-03,Closed Won,58000.0,10.18,52095.6,20230726.0,38,,100
OPP-00079,LD-06118,ACC-02599,CON-01327,VHL-025,DLR-08,Closed Lost,69000.0,11.81,60851.1,20241102.0,12,Price,0
OPP-00080,LD-07375,ACC-02610,CON-01470,VHL-017,DLR-10,Negotiation,27000.0,2.53,26316.9,,15,,75
OPP-00081,LD-09192,ACC-02260,CON-03633,VHL-034,DLR-07,Closed Lost,40000.0,4.28,38288.0,20240615.0,35,Delay,0
OPP-00082,LD-14227,ACC-02235,CON-01672,VHL-045,DLR-03,Closed Won,85000.0,1.78,83487.0,20241120.0,27,,100
OPP-00083,LD-02615,ACC-01761,CON-01407,VHL-011,DLR-08,Qualified,34000.0,4.58,32442.8,,16,,25
