order_id,opportunity_id,lead_id,account_id,contact_id,vehicle_id,dealer_id,order_date_key,deal_value_eur,discount_pct,net_revenue_eur,order_status
ORD-00001,OPP-00001,LD-00565,ACC-01004,CON-03322,VHL-038,DLR-07,20240821.0,52000.0,1.18,51386.4,Completed
ORD-00002,OPP-00003,LD-03732,ACC-00953,CON-01145,VHL-002,DLR-03,20240801.0,22000.0,2.24,21507.2,Completed
ORD-00003,OPP-00004,LD-04121,ACC-02933,CON-04089,VHL-039,DLR-03,20230421.0,58000.0,1.19,57309.8,Completed
ORD-00004,OPP-00005,LD-02821,ACC-01840,CON-04187,VHL-006,DLR-11,20240510.0,36000.0,6.36,33710.4,Completed
ORD-00005,OPP-00006,LD-09622,ACC-03109,CON-03284,VHL-039,DLR-06,20240129.0,58000.0,6.67,54131.4,Completed
ORD-00006,OPP-00007,LD-08609,ACC-01139,CON-04430,VHL-017,DLR-01,20240120.0,27000.0,8.78,24629.4,Completed
ORD-00007,OPP-00015,LD-05060,ACC-00667,CON-02665,VHL-033,DLR-06,20230507.0,28000.0,6.58,26157.6,Completed
ORD-00008,OPP-00016,LD-12638,ACC-02875,CON-02519,VHL-038,DLR-01,20241103.0,52000.0,2.47,50715.6,Completed
ORD-00009,OPP-00019,LD-10493,ACC-00939,CON-03029,VHL-023,DLR-12,20240928.0,52000.0,9.41,47106.8,Completed
ORD-00010,OPP-00020,LD-04946,ACC-01097,CON-02833,VHL-042,DLR-10,20240120.0,62000.0,6.64,57883.2,Completed
ORD-00011,OPP-00022,LD-01104,ACC-00586,CON-05731,VHL-007,DLR-11,20241223.0,39000.0,5.17,36983.7,Completed
ORD-00012,OPP-00026,LD-06183,ACC-02571,CON-02937,VHL-017,DLR-12,20230721.0,27000.0,10.25,24232.5,Completed
ORD-00013,OPP-00028,LD-15787,ACC-02267,CON-02381,VHL-014,DLR-02,20240212.0,33000.0,9.97,29709.9,Completed
ORD-00014,OPP-00029,LD-05954,ACC-02793,CON-02178,VHL-039,DLR-05,20240125.0,58000.0,1.08,57373.6,Completed
ORD-00015,OPP-00032,LD-03686,ACC-02562,CON-04108,VHL-037,DLR-02,20230211.0,45000.0,4.55,42952.5,Completed
ORD-00016,OPP-00034,LD-01669,ACC-02454,CON-04913,VHL-024,DLR-03,20230318.0,24000.0,3.95,23052.0,Completed
ORD-00017,OPP-00035,LD-02772,ACC-01260,CON-03910,VHL-019,DLR-02,20231021.0,29000.0,2.68,28222.8,Completed
ORD-00018,OPP-00037,LD-15112,ACC-00526,CON-02625,VHL-012,DLR-11,20241107.0,70000.0,8.53,64029.0,Completed
ORD-00019,OPP-00038,LD-06014,ACC-01086,CON-00213,VHL-040,DLR-01,20241231.0,68000.0,7.63,62811.6,Completed
ORD-00020,OPP-00039,LD-03078,ACC-02209,CON-04044,VHL-039,DLR-07,20230318.0,58000.0,5.25,54955.0,Completed
ORD-00021,OPP-00040,LD-08752,ACC-01635,CON-03106,VHL-033,DLR-04,20230810.0,28000.0,8.71,25561.2,Completed
ORD-00022,OPP-00043,LD-01137,ACC-00291,CON-04183,VHL-014,DLR-09,20241228.0,33000.0,6.71,30785.7,Completed
ORD-00023,OPP-00044,LD-15686,ACC-00129,CON-01235,VHL-014,DLR-01,20230228.0,33000.0,2.47,32184.9,Completed
ORD-00024,OPP-00045,LD-03418,ACC-01141,CON-03460,VHL-012,DLR-09,20240109.0,70000.0,2.57,68201.0,Completed
ORD-00025,OPP-00046,LD-09582,ACC-02963,CON-03753,VHL-027,DLR-12,20240725.0,47000.0,4.43,44917.9,Completed
ORD-00026,OPP-00048,LD-12692,ACC-02700,CON-00136,VHL-030,DLR-06,20230327.0,31000.0,4.21,29694.9,Completed
ORD-00027,OPP-00049,LD-09868,ACC-02987,CON-02694,VHL-018,DLR-12,20230723.0,35000.0,6.31,32791.5,Completed
ORD-00028,OPP-00051,LD-08973,ACC-01019,CON-01825,VHL-036,DLR-10,20240527.0,39000.0,3.38,37681.8,Completed
ORD-00029,OPP-00054,LD-13696,ACC-00208,CON-05200,VHL-034,DLR-06,20231209.0,40000.0,10.2,35920.0,Completed
ORD-00030,OPP-00055,LD-13105,ACC-00383,CON-00728,VHL-004,DLR-08,20240613.0,32000.0,6.32,29977.6,Completed
ORD-00031,OPP-00058,LD-00088,ACC-01864,CON-00841,VHL-001,DLR-08,20241212.0,18000.0,9.88,16221.6,Completed
ORD-00032,OPP-00060,LD-07734,ACC-00892,CON-03507,VHL-041,DLR-06,20230530.0,48000.0,2.08,47001.6,Completed
ORD-00033,OPP-00066,LD-08451,ACC-02693,CON-02963,VHL-040,DLR-02,20230430.0,68000.0,5.34,64368.8,Completed
ORD-00034,OPP-00067,LD-10448,ACC-00837,CON-00831,VHL-030,DLR-04,20240429.0,31000.0,7.21,28764.9,Completed
ORD-00035,OPP-00068,LD-10925,ACC-01622,CON-03986,VHL-025,DLR-01,20241220.0,69000.0,5.33,65322.3,Completed
ORD-00036,OPP-00071,LD-09846,ACC-02073,CON-05547,VHL-011,DLR-08,20241005.0,34000.0,2.8,33048.0,Completed
ORD-00037,OPP-00073,LD-07811,ACC-02882,CON-04564,VHL-037,DLR-08,20241129.0,45000.0,2.1,44055.0,Completed
ORD-00038,OPP-00075,LD-04926,ACC-00551,CON-05176,VHL-007,DLR-09,20231024.0,39000.0,4.4,37284.0,Completed
ORD-00039,OPP-00078,LD-06152,ACC-01029,CON-01173,VHL-032,DLR-03,20230726.0,58000.0,10.18,52095.6,Completed
ORD-00040,OPP-00082,LD-14227,ACC-02235,CON-01672,VHL-045,DLR-03,20241120.0,85000.0,1.78,83487.0,Completed
ORD-00041,OPP-00086,LD-05759,ACC-02543,CON-01148,VHL-026,DLR-04,20230905.0,43000.0,10.46,38502.2,Completed
ORD-00042,OPP-00087,LD-13553,ACC-00666,CON-02532,VHL-017,DLR-12,20241231.0,27000.0,10.83,24075.9,Completed
ORD-00043,OPP-00090,LD-12184,ACC-01567,CON-01058,VHL-024,DLR-02,20240119.0,24000.0,4.9,22824.0,Completed
ORD-00044,OPP-00092,LD-09845,ACC-00914,CON-01644,VHL-018,DLR-10,20231028.0,35000.0,5.25,33162.5,Completed
ORD-00045,OPP-00094,LD-09853,ACC-01439,CON-00010,VHL-011,DLR-02,20230710.0,34000.0,9.74,30688.4,Completed
ORD-00046,OPP-00095,LD-12272,ACC-00114,CON-03197,VHL-009,DLR-09,20230816.0,35000.0,5.2,33180.0,Completed
ORD-00047,OPP-00098,LD-08885,ACC-01578,CON-02335,VHL-027,DLR-12,20240724.0,47000.0,5.32,44499.6,Completed
ORD-00048,OPP-00100,LD-09753,ACC-01492,CON-02690,VHL-007,DLR-05,20241231.0,39000.0,8.45,35704.5,Completed
