case_id,contact_id,account_id,vehicle_id,dealer_id,open_date_key,close_date_key,case_type,priority,sla_target_hours,resolution_hours,is_sla_breached,is_reopened,reopen_count,related_case_id,status
CASE-00001,CON-02007,ACC-00915,VHL-018,DLR-01,20240408,20240412.0,Warranty,Low,168,97.08,False,False,0,,Resolved
CASE-00002,CON-04932,ACC-00109,VHL-033,DLR-04,20230305,20230306.0,Maintenance,High,24,34.36,True,False,0,,Closed
CASE-00003,CON-05720,ACC-01732,VHL-011,DLR-01,20230717,20230719.0,Maintenance,Low,168,64.51,False,False,0,,Resolved
CASE-00004,CON-02167,ACC-00178,VHL-039,DLR-06,20230307,20230310.0,Damage,Medium,72,90.48,True,False,0,,Closed
CASE-00005,CON-04730,ACC-00788,VHL-024,DLR-10,20240823,20240825.0,Recall,Low,168,57.14,False,False,0,,Resolved
CASE-00006,CON-02278,ACC-01858,VHL-025,DLR-02,20230616,20230616.0,Recall,Medium,72,19.83,False,False,0,,Resolved
CASE-00007,CON-04991,ACC-02601,VHL-005,DLR-11,20241112,20241112.0,Warranty,High,24,10.35,False,False,0,,Closed
CASE-00008,CON-00459,ACC-00939,VHL-021,DLR-11,20240206,20240206.0,Damage,High,24,3.46,False,False,0,,Closed
CASE-00009,CON-01742,ACC-02685,VHL-021,DLR-12,20240214,20240214.0,Maintenance,High,24,5.14,False,False,0,,Resolved
CASE-00010,CON-04789,ACC-01755,VHL-017,DLR-09,20240625,20240627.0,Complaint,Medium,72,71.84,False,False,0,,Resolved
CASE-00011,CON-05141,ACC-00656,VHL-010,DLR-02,20230130,20230131.0,Damage,Medium,72,31.19,False,False,0,,Closed
CASE-00012,CON-05573,ACC-02953,VHL-001,DLR-09,20240119,20240119.0,Warranty,High,24,18.91,False,False,0,,Resolved
CASE-00013,CON-04101,ACC-03121,VHL-017,DLR-01,20230423,20230424.0,Warranty,High,24,31.51,True,False,0,,Closed
CASE-00014,CON-04345,ACC-00003,VHL-035,DLR-03,20230419,20230420.0,Maintenance,Medium,72,29.96,False,False,0,,Closed
CASE-00015,CON-01974,ACC-02324,VHL-004,DLR-04,20240804,20240804.0,Complaint,Low,168,22.8,False,False,0,,Closed
CASE-00016,CON-01353,ACC-01086,VHL-036,DLR-08,20230331,20230404.0,Maintenance,Medium,72,116.62,True,False,0,,Closed
CASE-00017,CON-03269,ACC-02752,VHL-020,DLR-12,20240516,20240516.0,Recall,Medium,72,13.99,False,False,0,,Resolved
CASE-00018,CON-01886,ACC-02411,VHL-036,DLR-10,20230831,20230901.0,Warranty,Low,168,47.71,False,False,0,,Closed
CASE-00019,CON-05481,ACC-01989,VHL-018,DLR-04,20230216,20230224.0,Warranty,Low,168,209.33,True,False,0,,Closed
CASE-00020,CON-00795,ACC-02700,VHL-007,DLR-04,20240805,20240807.0,Maintenance,Medium,72,54.12,False,False,0,,Closed
CASE-00021,CON-03299,ACC-02983,VHL-004,DLR-02,20241219,20241219.0,Maintenance,High,24,6.18,False,False,0,,Closed
CASE-00022,CON-02047,ACC-00309,VHL-030,DLR-05,20231101,20231101.0,Maintenance,High,24,3.11,False,False,0,,Closed
CASE-00023,CON-01363,ACC-01665,VHL-016,DLR-02,20240829,20240829.0,Maintenance,Low,168,21.15,False,False,0,,Closed
CASE-00024,CON-02337,ACC-01733,VHL-030,DLR-05,20241220,20241221.0,Recall,High,24,40.05,True,False,0,,Closed
CASE-00025,CON-04745,ACC-03014,VHL-004,DLR-04,20230516,20230516.0,Maintenance,High,24,14.85,False,False,0,,Closed
CASE-00026,CON-04161,ACC-00329,VHL-004,DLR-03,20240910,20240916.0,Damage,Low,168,146.44,False,False,0,,Closed
CASE-00027,CON-04743,ACC-02436,VHL-016,DLR-10,20241115,20241119.0,Warranty,Low,168,100.18,False,False,0,,Resolved
CASE-00028,CON-02176,ACC-01622,VHL-016,DLR-06,20240501,20240503.0,Warranty,Medium,72,67.32,False,False,0,,Resolved
CASE-00029,CON-00601,ACC-02203,VHL-007,DLR-10,20240325,20240403.0,Warranty,Low,168,231.48,True,False,0,,Closed
CASE-00030,CON-05011,ACC-02679,VHL-020,DLR-09,20230422,20230424.0,Maintenance,Medium,72,67.5,False,False,0,,Resolved
CASE-00031,CON-00877,ACC-03041,VHL-008,DLR-05,20240929,20241004.0,Maintenance,Low,168,123.95,False,False,0,,Resolved
CASE-00032,CON-04003,ACC-01029,VHL-033,DLR-05,20240404,20240404.0,Complaint,High,24,11.32,False,False,0,,Resolved
CASE-00033,CON-01324,ACC-03037,VHL-017,DLR-11,20240712,20240712.0,Maintenance,High,24,4.46,False,False,0,,Closed
CASE-00034,CON-00296,ACC-01513,VHL-035,DLR-03,20240517,20240519.0,Maintenance,Low,168,60.09,False,False,0,,Closed
CASE-00035,CON-01721,ACC-02794,VHL-023,DLR-01,20240728,20240803.0,Maintenance,Low,168,149.93,False,False,0,,Closed
CASE-00036,CON-01332,ACC-00726,VHL-016,DLR-03,20240325,20240327.0,Complaint,Low,168,63.82,False,False,0,,Closed
CASE-00037,CON-01305,ACC-02873,VHL-018,DLR-04,20240919,20240920.0,Warranty,High,24,29.73,True,False,0,,Closed
CASE-00038,CON-00194,ACC-02704,VHL-015,DLR-04,20230804,20230808.0,Warranty,Medium,72,118.43,True,False,0,,Closed
CASE-00039,CON-00227,ACC-00473,VHL-022,DLR-09,20231016,20231022.0,Damage,Low,168,165.43,False,False,0,,Resolved
CASE-00040,CON-03575,ACC-02484,VHL-021,DLR-06,20240306,20240313.0,Complaint,Low,168,182.09,True,True,1,CASE-REL-00040,Closed
CASE-00041,CON-05494,ACC-00808,VHL-044,DLR-09,20240113,20240115.0,Maintenance,Low,168,63.51,False,False,0,,Resolved
CASE-00042,CON-04155,ACC-01267,VHL-020,DLR-12,20240907,20240908.0,Recall,Medium,72,42.59,False,False,0,,Resolved
CASE-00043,CON-01426,ACC-02522,VHL-044,DLR-07,20240427,20240428.0,Maintenance,Medium,72,26.06,False,False,0,,Resolved
CASE-00044,CON-02640,ACC-01905,VHL-042,DLR-10,20240721,20240723.0,Maintenance,Medium,72,58.39,False,False,0,,Closed
CASE-00045,CON-02325,ACC-02112,VHL-006,DLR-11,20240618,20240620.0,Recall,Medium,72,68.83,False,False,0,,Resolved
CASE-00046,CON-00201,ACC-00190,VHL-010,DLR-04,20230808,20230811.0,Maintenance,Medium,72,75.96,True,False,0,,Closed
CASE-00047,CON-03146,ACC-02025,VHL-045,DLR-04,20240401,20240407.0,Maintenance,Low,168,151.25,False,False,0,,Closed
CASE-00048,CON-01441,ACC-02851,VHL-015,DLR-07,20241005,20241011.0,Maintenance,Low,168,144.34,False,False,0,,Closed
CASE-00049,CON-04579,ACC-02439,VHL-034,DLR-11,20240731,20240731.0,Maintenance,High,24,19.93,False,False,0,,Closed
CASE-00050,CON-01304,ACC-03047,VHL-029,DLR-09,20231105,20231107.0,Damage,Medium,72,61.43,False,False,0,,Resolved
CASE-00051,CON-01960,ACC-01125,VHL-041,DLR-08,20240716,20240716.0,Maintenance,High,24,9.39,False,False,0,,Closed
CASE-00052,CON-03138,ACC-02843,VHL-015,DLR-03,20230223,20230225.0,Warranty,Low,168,63.62,False,False,0,,Resolved
CASE-00053,CON-05698,ACC-00081,VHL-038,DLR-07,20240826,20240826.0,Damage,High,24,2.13,False,False,0,,Closed
CASE-00054,CON-04474,ACC-02471,VHL-035,DLR-07,20240701,20240702.0,Complaint,Medium,72,38.05,False,False,0,,Closed
CASE-00055,CON-03829,ACC-00523,VHL-011,DLR-12,20240729,20240802.0,Complaint,Medium,72,100.61,True,False,0,,Resolved
CASE-00056,CON-00412,ACC-01066,VHL-012,DLR-08,20231106,20231111.0,Maintenance,Low,168,130.75,False,False,0,,Closed
CASE-00057,CON-00671,ACC-01927,VHL-017,DLR-07,20240630,20240703.0,Warranty,Medium,72,89.12,True,False,0,,Closed
CASE-00058,CON-01634,ACC-00084,VHL-016,DLR-01,20240417,20240418.0,Recall,Low,168,29.84,False,False,0,,Closed
CASE-00059,CON-01375,ACC-02482,VHL-024,DLR-05,20231204,20231204.0,Maintenance,High,24,20.02,False,False,0,,Closed
CASE-00060,CON-04717,ACC-02775,VHL-020,DLR-01,20230316,20230319.0,Complaint,Medium,72,81.92,True,False,0,,Closed
CASE-00061,CON-05606,ACC-02460,VHL-020,DLR-12,20230624,20230624.0,Damage,High,24,2.9,False,False,0,,Closed
CASE-00062,CON-05305,ACC-01398,VHL-033,DLR-02,20240425,20240426.0,Warranty,Medium,72,34.61,False,False,0,,Closed
CASE-00063,CON-01443,ACC-03006,VHL-028,DLR-03,20231130,20231202.0,Maintenance,Medium,72,66.69,False,False,0,,Closed
CASE-00064,CON-02199,ACC-01321,VHL-038,DLR-12,20231204,20231204.0,Damage,High,24,21.4,False,False,0,,Resolved
CASE-00065,CON-03105,ACC-01378,VHL-043,DLR-10,20231204,20231204.0,Warranty,High,24,6.67,False,False,0,,Resolved
CASE-00066,CON-04554,ACC-00042,VHL-018,DLR-12,20241001,20241004.0,Maintenance,Low,168,75.4,False,False,0,,Closed
CASE-00067,CON-04021,ACC-01836,VHL-042,DLR-08,20230622,20230626.0,Damage,Low,168,119.92,False,False,0,,Resolved
CASE-00068,CON-04350,ACC-01409,VHL-036,DLR-08,20240224,20240224.0,Maintenance,High,24,17.46,False,False,0,,Resolved
CASE-00069,CON-02585,ACC-00490,VHL-013,DLR-02,20230630,20230630.0,Damage,Critical,4,5.55,True,False,0,,Closed
CASE-00070,CON-04889,ACC-01160,VHL-034,DLR-10,20230716,20230716.0,Complaint,High,24,9.94,False,False,0,,Closed
CASE-00071,CON-04534,ACC-01197,VHL-004,DLR-01,20230330,20230402.0,Recall,Low,168,88.58,False,False,0,,Closed
CASE-00072,CON-03609,ACC-01396,VHL-031,DLR-08,20240219,20240227.0,Warranty,Low,168,202.66,True,False,0,,Closed
CASE-00073,CON-00440,ACC-00622,VHL-044,DLR-11,20230218,20230220.0,Warranty,Medium,72,71.6,False,False,0,,Closed
CASE-00074,CON-04281,ACC-01559,VHL-015,DLR-10,20240314,20240318.0,Maintenance,Medium,72,119.53,True,False,0,,Resolved
CASE-00075,CON-01703,ACC-02563,VHL-007,DLR-10,20240325,20240325.0,Warranty,Medium,72,17.47,False,True,1,CASE-REL-00075,Resolved
CASE-00076,CON-02386,ACC-00134,VHL-031,DLR-10,20231123,20231123.0,Warranty,High,24,11.99,False,False,0,,Closed
CASE-00077,CON-05417,ACC-00811,VHL-038,DLR-11,20240722,20240724.0,Maintenance,Medium,72,65.96,False,False,0,,Closed
CASE-00078,CON-04875,ACC-03068,VHL-020,DLR-03,20230216,20230216.0,Damage,Critical,4,2.14,False,False,0,,Resolved
CASE-00079,CON-04424,ACC-02023,VHL-033,DLR-05,20231018,20231022.0,Maintenance,Medium,72,107.39,True,False,0,,Closed
CASE-00080,CON-04713,ACC-02405,VHL-044,DLR-04,20230117,20230117.0,Complaint,Critical,4,5.98,True,True,1,CASE-REL-00080,Closed
CASE-00081,CON-02279,ACC-00744,VHL-029,DLR-11,20231208,20231210.0,Complaint,Medium,72,69.96,False,False,0,,Closed
